Code,Subject Name,Year,Type,School
AIS 285,Indigenous Thinkers,2020,Regular,LAS
AIS 503,Seminar in Indigenous Studies,2020,Regular,LAS
ALEC 110,"Introduction to Agricultural Leadership, Education and Communications",2020,Regular,ACES
ALEC 199,Undergraduate Open Seminar,2020,Regular,ACES
ALEC 295,Independent Study or Research,2020,Regular,ACES
ALEC 393,"Internship in Agricultural Leadership, Education and Communications",2020,Regular,ACES
ALEC 396,Honors Research or Thesis,2020,Regular,ACES
ALEC 451,Professional Development in ALEC,2020,Regular,ACES
ALEC 499,Seminar,2020,Regular,ACES
ALEC 549,Independent Study,2020,Regular,ACES
ANSC 100,Intro to Animal Sciences,2020,Regular,ACES
ANSC 103,Working With Farm Animals,2020,Regular,ACES
ANSC 110,Life With Animals and Biotech,2020,Regular,ACES
ANSC 199,Undergraduate Open Seminar,2020,Regular,ACES
ANSC 205,World Animal Resources,2020,Regular,ACES
ANSC 206,Horse Management,2020,Regular,ACES
ANSC 207,Companion Animal Biology &Care,2020,Regular,ACES
ANSC 221,"Cells, Metabolism and Genetics",2020,Regular,ACES
ANSC 222,Anatomy and Physiology,2020,Regular,ACES
ANSC 250,Companion Animals in Society,2020,Regular,ACES
ANSC 251,Epidemics and Infectious Diseases,2020,Regular,ACES
ANSC 256,Horse's Role in Human History,2020,Regular,ACES
ANSC 298,Undergraduate Seminar,2020,Regular,ACES
ANSC 305,Human Animal Interactions,2020,Regular,ACES
ANSC 307,Companion Animal Management,2020,Regular,ACES
ANSC 310,Meat Selection and Grading,2020,Regular,ACES
ANSC 312,Advanced Livestock Evaluation,2020,Regular,ACES
ANSC 313,Horse Appraisal,2020,Regular,ACES
ANSC 314,Adv Dairy Cattle Evaluation,2020,Regular,ACES
ANSC 322,Livestock Feeds and Feeding,2020,Regular,ACES
ANSC 350,Cellular Metabolism in Animals,2020,Regular,ACES
ANSC 398,UG Experiential Learning,2020,Regular,ACES
ANSC 400,Dairy Herd Management,2020,Regular,ACES
ANSC 401,Beef Production,2020,Regular,ACES
ANSC 420,Ruminant Nutrition,2020,Regular,ACES
ANSC 422,Companion Animal Nutrition,2020,Regular,ACES
ANSC 424,Pet Food & Feed Manufacturing,2020,Regular,ACES
ANSC 431,Advanced Reproductive Biology,2020,Regular,ACES
ANSC 440,Applied Statistical Methods I,2020,Regular,ACES
ANSC 441,Human Genetics,2020,Regular,ACES
ANSC 445,Statistical Methods,2020,Regular,ACES
ANSC 452,Animal Growth and Development,2020,Regular,ACES
ANSC 454,Neuroimmunology,2020,Regular,ACES
ANSC 498,Integrating Animal Sciences,2020,Regular,ACES
ANSC 499,Seminar,2020,Regular,ACES
ANSC 522,Advanced Ruminant Nutrition,2020,Regular,ACES
ANSC 523,Techniques in Animal Nutrition,2020,Regular,ACES
ANSC 525,Topics in Nutrition Research,2020,Regular,ACES
ANSC 526,Adv Companion Animal Nutrition,2020,Regular,ACES
